time_s,diameter_m,diameter_um,temperature_K,mass_kg,d2_norm,Re,Nu,Sh,B_M,mdot_kg_s,Q_conv_W,K_evap_m2_s
0.00000000,0.00010000,100.00000000,300.00000000,0.00000000,1.00000000,0.00000000,2.00000000,2.00000000,0.24582340,-0.00000000,0.02157918,0.00000004
0.00002500,0.00009999,99.99471952,300.64702295,0.00000000,0.99989439,0.00000000,2.00000000,2.00000000,0.25431718,-0.00000000,0.02156689,0.00000004
0.00005000,0.00009999,99.98927413,301.29307350,0.00000000,0.99978549,0.00000000,2.00000000,2.00000000,0.26306450,-0.00000000,0.02155457,0.00000004
0.00007500,0.00009998,99.98366000,301.93813750,0.00000000,0.99967323,0.00000000,2.00000000,2.00000000,0.27207213,-0.00000000,0.02154221,0.00000005
0.00010000,0.00009998,99.97787323,302.58220065,0.00000000,0.99955751,0.00000000,2.00000000,2.00000000,0.28134701,-0.00000000,0.02152982,0.00000005
0.00012500,0.00009997,99.97190991,303.22524848,0.00000000,0.99943828,0.00000000,2.00000000,2.00000000,0.29089630,-0.00000000,0.02151740,0.00000005
0.00015000,0.00009997,99.96576606,303.86726640,0.00000000,0.99931544,0.00000000,2.00000000,2.00000000,0.30072735,-0.00000000,0.02150493,0.00000005
0.00017500,0.00009996,99.95943765,304.50823967,0.00000000,0.99918892,0.00000000,2.00000000,2.00000000,0.31084773,-0.00000000,0.02149243,0.00000005
0.00020000,0.00009995,99.95292062,305.14815341,0.00000000,0.99905863,0.00000000,2.00000000,2.00000000,0.32126521,-0.00000000,0.02147989,0.00000005
0.00022500,0.00009995,99.94621085,305.78699261,0.00000000,0.99892451,0.00000000,2.00000000,2.00000000,0.33198783,-0.00000000,0.02146731,0.00000005
0.00025000,0.00009994,99.93930418,306.42474210,0.00000000,0.99878645,0.00000000,2.00000000,2.00000000,0.34302382,-0.00000000,0.02145470,0.00000006
0.00027500,0.00009993,99.93219642,307.06138660,0.00000000,0.99864439,0.00000000,2.00000000,2.00000000,0.35438168,-0.00000000,0.02144205,0.00000006
0.00030000,0.00009992,99.92488332,307.69691069,0.00000000,0.99849823,0.00000000,2.00000000,2.00000000,0.36607017,-0.00000000,0.02142935,0.00000006
0.00032500,0.00009992,99.91736058,308.33129882,0.00000000,0.99834789,0.00000000,2.00000000,2.00000000,0.37809831,-0.00000000,0.02141662,0.00000006
0.00035000,0.00009991,99.90962387,308.96453532,0.00000000,0.99819329,0.00000000,2.00000000,2.00000000,0.39047539,-0.00000000,0.02140385,0.00000006
0.00037500,0.00009990,99.90166882,309.59660437,0.00000000,0.99803434,0.00000000,2.00000000,2.00000000,0.40321102,-0.00000000,0.02139103,0.00000006
0.00040000,0.00009989,99.89349100,310.22749007,0.00000000,0.99787095,0.00000000,2.00000000,2.00000000,0.41631507,-0.00000000,0.02137818,0.00000007
0.00042500,0.00009989,99.88508597,310.85717635,0.00000000,0.99770304,0.00000000,2.00000000,2.00000000,0.42979776,-0.00000000,0.02136528,0.00000007
0.00045000,0.00009988,99.87644920,311.48564706,0.00000000,0.99753051,0.00000000,2.00000000,2.00000000,0.44366963,-0.00000000,0.02135234,0.00000007
0.00047500,0.00009987,99.86757617,312.11288591,0.00000000,0.99735328,0.00000000,2.00000000,2.00000000,0.45794155,-0.00000000,0.02133936,0.00000007
0.00050000,0.00009986,99.85846228,312.73887649,0.00000000,0.99717125,0.00000000,2.00000000,2.00000000,0.47262475,-0.00000000,0.02132633,0.00000007
0.00052500,0.00009985,99.84910292,313.36360230,0.00000000,0.99698434,0.00000000,2.00000000,2.00000000,0.48773086,-0.00000000,0.02131327,0.00000008
0.00055000,0.00009984,99.83949341,313.98704670,0.00000000,0.99679244,0.00000000,2.00000000,2.00000000,0.50327186,-0.00000000,0.02130015,0.00000008
0.00057500,0.00009983,99.82962905,314.60919295,0.00000000,0.99659548,0.00000000,2.00000000,2.00000000,0.51926017,-0.00000000,0.02128699,0.00000008
0.00060000,0.00009982,99.81950510,315.23002419,0.00000000,0.99639336,0.00000000,2.00000000,2.00000000,0.53570863,-0.00000000,0.02127379,0.00000008
0.00062500,0.00009981,99.80911677,315.84952345,0.00000000,0.99618598,0.00000000,2.00000000,2.00000000,0.55263051,-0.00000000,0.02126054,0.00000008
0.00065000,0.00009980,99.79845924,316.46767367,0.00000000,0.99597325,0.00000000,2.00000000,2.00000000,0.57003956,-0.00000000,0.02124724,0.00000009
0.00067500,0.00009979,99.78752764,317.08445764,0.00000000,0.99575507,0.00000000,2.00000000,2.00000000,0.58795003,-0.00000000,0.02123390,0.00000009
0.00070000,0.00009978,99.77631706,317.69985808,0.00000000,0.99553134,0.00000000,2.00000000,2.00000000,0.60637665,-0.00000000,0.02122051,0.00000009
0.00072500,0.00009976,99.76482258,318.31385757,0.00000000,0.99530198,0.00000000,2.00000000,2.00000000,0.62533473,-0.00000000,0.02120707,0.00000009
0.00075000,0.00009975,99.75303919,318.92643860,0.00000000,0.99506688,0.00000000,2.00000000,2.00000000,0.64484009,-0.00000001,0.02119358,0.00000010
0.00077500,0.00009974,99.74096189,319.53758353,0.00000000,0.99482595,0.00000000,2.00000000,2.00000000,0.66490919,-0.00000001,0.02118004,0.00000010
0.00080000,0.00009973,99.72858560,320.14727462,0.00000000,0.99457908,0.00000000,2.00000000,2.00000000,0.68555907,-0.00000001,0.02116646,0.00000010
0.00082500,0.00009972,99.71590522,320.75549401,0.00000000,0.99432618,0.00000000,2.00000000,2.00000000,0.70680744,-0.00000001,0.02115282,0.00000010
0.00085000,0.00009970,99.70291562,321.36222372,0.00000000,0.99406714,0.00000000,2.00000000,2.00000000,0.72867269,-0.00000001,0.02113913,0.00000010
0.00087500,0.00009969,99.68961160,321.96744568,0.00000000,0.99380187,0.00000000,2.00000000,2.00000000,0.75117391,-0.00000001,0.02112539,0.00000011
0.00090000,0.00009968,99.67598794,322.57114166,0.00000000,0.99353026,0.00000000,2.00000000,2.00000000,0.77433096,-0.00000001,0.02111160,0.00000011
0.00092500,0.00009966,99.66203936,323.17329334,0.00000000,0.99325221,0.00000000,2.00000000,2.00000000,0.79816447,-0.00000001,0.02109776,0.00000011
0.00095000,0.00009965,99.64776056,323.77388225,0.00000000,0.99296762,0.00000000,2.00000000,2.00000000,0.82269593,-0.00000001,0.02108386,0.00000012
