T_inf_K,T_wb_K,K_D2_m2s,t_evap_s,d_final_um
600.000000,360.205253,0.000000,0.036470,0.000000
700.000000,366.631482,0.000001,0.024835,0.000000
800.000000,369.543859,0.000001,0.018155,0.000000
900.000000,370.740692,0.000001,0.013930,0.000000
1000.000000,371.206893,0.000001,0.011075,0.000000
1100.000000,371.383584,0.000001,0.009050,0.000000
1200.000000,371.449474,0.000002,0.007560,0.000000
1300.000000,371.473745,0.000002,0.006480,0.000000
1400.000000,371.482687,0.000002,0.005590,0.000000
1500.000000,371.600000,0.000003,0.005020,0.000000
